"","Kingdom","Phylum","Class","Order","Family","Genus","Species","latrineAbun","controlAbun"
"ASV_21110","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21111","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21112","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,1.244
"ASV_21113","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21114","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,2.012
"ASV_21115","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,19.768,3.638
"ASV_21116","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,8.31,0
"ASV_21117","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,2.31
"ASV_21118","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,3.734,0
"ASV_21119","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,2.978,0
"ASV_21120","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,1.576,0
"ASV_21121","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,1.934,0
"ASV_21122","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,1.16
"ASV_21123","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21124","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,12.07,0
"ASV_21125","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,16.534,0
"ASV_21126","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,20.018,0
"ASV_21127","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,8.126,0
"ASV_21128","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,12.762,0
"ASV_21129","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,14.564,2.558
"ASV_21130","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,28.974,0
"ASV_21131","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,2.61,0
"ASV_21132","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,16.086,0
"ASV_21133","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,6.868,0
"ASV_21134","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,38.664,0
"ASV_21135","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,4.716,0
"ASV_21136","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0.706,0
"ASV_21137","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,3.292,0
"ASV_21138","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0.542
"ASV_21139","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21140","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21141","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,2.128
"ASV_21142","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21143","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,8.192,0
"ASV_21144","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,1.72
"ASV_21145","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,1.328
"ASV_21146","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,9.776,0
"ASV_21147","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0.638
"ASV_21148","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,4.598,4.62
"ASV_21149","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21150","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,10.722,9.412
"ASV_21151","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0.38,0.484
"ASV_21152","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,3.384,0
"ASV_21153","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21154","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0.34,0
"ASV_21155","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21156","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,6.062
"ASV_21157","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,13.918,0
"ASV_21158","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,4.352,6.51
"ASV_21159","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,1.62,0
"ASV_21160","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21161","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,2.784,0
"ASV_21162","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,30.914,0
"ASV_21163","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21164","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,18.432,0
"ASV_21165","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,5.498,0
"ASV_21166","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,1.318,0
"ASV_21167","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21168","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,11.614,0
"ASV_21169","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0.822
"ASV_21170","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21171","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,8.4
"ASV_21172","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,1.81,8.408
"ASV_21173","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,4.636
"ASV_21174","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21175","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0.578,8.586
"ASV_21176","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0,6.268
"ASV_21177","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0,36.258
"ASV_21178","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,1.138
"ASV_21179","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,7.224,0
"ASV_21180","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,1.122,1.476
"ASV_21181","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0,4.506
"ASV_21182","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,1.516,0
"ASV_21183","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21184","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,2.948,0.726
"ASV_21185","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,2.486,0
"ASV_21186","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21187","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,3.336,0
"ASV_21188","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,1.714
"ASV_21189","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,1.68
"ASV_21190","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
