"Species","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"ASV_5988","ASV_5988",0.0092208726945569,0.915599730094467,0.0136201316172435,0.67700320038633,68.3266666666667,0,505,1,0.001,"control_1931-1962_latrine_LIA",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_20544","ASV_20544",0.00489952766531714,0.915599730094467,0.00507514063760899,0.965397417563075,0.692,36.9975,18172,1,0.038,"control_1931-1962_latrine_LIA",20544,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"ASV_24939","ASV_24939",0.00407606837606838,0.915599730094467,0.00509450402881305,0.800091304868011,31.7366666666667,5.518,23908,1,0.022,"control_1931-1962_latrine_LIA",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_22643","ASV_22643",0.00329892037786775,0.915599730094467,0.00204544666991095,1.61281172782245,2.402,25.646,20973,1,0.039,"control_1931-1962_latrine_LIA",22643,"Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",NA
"ASV_4822","ASV_4822",0.00301061628430049,0.915599730094467,0.0010342031749284,2.91104916063414,23.6146666666667,1.306,13311,0.988364766803536,0.001,"control_1931-1962_latrine_LIA",4822,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Incertae_Sedis","Incertae_Sedis",NA
"ASV_974","ASV_974",0.00277174988753936,0.915599730094467,0.00389951501790853,0.710793489654508,20.2,1.016,777,0.644484916857221,0.015,"control_1931-1962_latrine_LIA",974,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_22404","ASV_22404",0.00249077822762033,0.915599730094467,0.00367912326883976,0.67700320038633,18.4566666666667,0,20609,1,0.033,"control_1931-1962_latrine_LIA",22404,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_21888","ASV_21888",0.00248430049482681,0.915599730094467,0.00366955502338711,0.67700320038633,18.4086666666667,0,19920,1,0.02,"control_1931-1962_latrine_LIA",21888,"Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea",NA
"ASV_993","ASV_993",0.00248045434098066,0.915599730094467,0.000750266887702774,3.30609597949272,19.7106666666667,1.3305,18873,0.648921880955588,0.001,"control_1931-1962_latrine_LIA",993,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_5988","ASV_5988",0.0092208726945569,0.96112220722747,0.0134183407341289,0.687184270936277,68.3266666666667,0,395,0.999164691022578,0.001,"control_1931-1962_latrine_LIA-1931",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
